"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Leadbettera",3.23474396321782,0.158986938929968,0.56751833799854,0.280144143871483,0.779366918128308,0.919716548442761
"Brachyspira",9.94107152173917,-0.557859249737304,0.555783320113885,-1.00373514200281,0.315506293624595,0.646295853277874
"Leptospira",6.12563172290353,0.110967416740408,0.398765299529261,0.27827751529886,0.780799334904695,0.919716548442761
"Oceanotoga",5.64533347978425,1.13146753276231,1.20484358081345,0.939099108614909,0.347679861893539,0.66170336284288
"Marinitoga",3.56355054040148,-0.795967703549583,0.645542759700836,-1.23302088295198,0.21756797305354,0.557583621762817
"Akkermansia",21631.1940976943,2.08087776088589,0.773859693337733,2.68895999985586,0.00716750072394595,0.0490626985039139
"Luteolibacter",3.58284536107074,1.00494086260134,0.448186098784967,2.24224014382806,0.0249458559375843,0.130607678881492
"Opitutus",3.36182016873505,-0.669088519922065,0.649574667453489,-1.03004096903144,0.30299077399132,0.634069450108068
"Planctomyces",2.57761546486688,-0.323800341115973,0.620690022418563,-0.521678018690009,0.601894531853238,0.855917706008721
"Gimesia",2.80337857669868,-0.67037663763472,0.549708892916095,-1.2195120840751,0.222649892199908,0.562456037200243
"Tichowtungia",1.88458315083532,0.433428664342049,1.01749434514559,0.425976484694892,0.670124981077939,0.885159568838349
"Granulicella",6.57110911474546,0.785658757367071,0.666680350471091,1.17846394724534,0.238611697156012,0.581531165910861
"Terriglobus",2.93097186550398,-0.232431001884053,0.660896205445753,-0.351690628526587,0.725070289491672,0.895087546426963
"Edaphobacter",2.77021234930064,-0.165713912927978,0.768038858023939,-0.215762407327069,0.829172952699635,0.94495435318401
"Paludibaculum",2.26898469742024,0.653726101136468,0.697488077876992,0.937257742277508,0.348625994183949,0.66170336284288
"Geothrix",7.36501949842789,0.714345448190336,0.503616972304527,1.41843005195303,0.156065246950881,0.468431264310806
"Mesoterricola",2.64325564281276,0.173191341639113,0.713020111937781,0.242898255938994,0.808084216678078,0.936001478051791
"Sulfidibacter",2.08928041927904,0.161774450693684,0.733790342611539,0.220464131645468,0.825509703955865,0.944839046275267
"Luteitalea",2.83179643245381,0.782289886089918,0.643750877656545,1.21520593329161,0.224287558035613,0.563907817715132
"Chloracidobacterium",2.06701915122951,0.670885506854589,0.673283928502121,0.996437726275647,0.319037510323119,0.647225236047474
"Cloacibacillus",78.3687151697697,0.178899235196776,0.454405946544418,0.393699150632239,0.693803168525083,0.885159568838349
"Pyramidobacter",16.4753703231577,0.226099182660042,0.34393462266154,0.657390003106906,0.510930177924943,0.805493192835608
"Bdellovibrio",3.75830815307644,-0.354975988852747,0.514632664209752,-0.689765756314425,0.490341506512819,0.789457266176178
"Caldithrix",2.17519161423563,1.08554862767844,0.7083566876401,1.53248871171805,0.125401881084015,0.411923826099503
"Candidatus Nanosynbacter",20.0068291650202,-2.48094374698349,0.761242788271579,-3.25907027982037,0.00111777974095329,0.0108804064692792
"Sporothrix",8.20885309668057,0.369145930357277,0.729017783928332,0.506360665672824,0.612603482300339,0.858615977173923
"Neurospora",2.07882381919303,-0.60957920128269,0.580699313772127,-1.04973294582176,0.293840911938741,0.626628816374969
"Lomentospora",2.89346510160664,-0.859095136825439,0.93391565209224,-0.919885146908951,0.357632781478371,0.672939853879281
"Fusarium",14.6134371128223,0.469659524355437,0.611078809753566,0.768574391484528,0.442146012731376,0.752710902818294
"Trichoderma",2.22957199277116,0.39072283561795,0.608679197310925,0.64191915436591,0.520925676753379,0.813994319639669
"Ustilaginoidea",2.51317427527773,-1.29886825342893,1.1009015039776,-1.17982239894856,0.238070858910369,0.581531165910861
"Colletotrichum",4.10499841535316,-0.434321847740712,0.745981416769264,-0.582215371559383,0.560421620695858,0.845814138774261
"Aspergillus",15.8081918023627,-0.0241643614083912,0.350471621187553,-0.0689481257469909,0.945030910829435,0.985129713141437
"Talaromyces",2.225408519612,-0.18335740060913,0.569007144823419,-0.322240945965682,0.747270167069616,0.913259199448791
"Coccidioides",2.56243133677016,-1.12175526941972,0.655472161224877,-1.71136981214199,0.0870128662746332,0.329716611133521
"Histoplasma",2.68599180828413,-0.885178419451967,0.710934003237149,-1.2450922524755,0.21309784166347,0.555229009116515
"Exophiala",1.98983513959872,-1.03836630626989,0.640917459270329,-1.62012485578415,0.105205459081376,0.361239456586859
"Cladophialophora",2.10264603381587,0.349534199721753,0.681796019412373,0.512666823756187,0.608184400566257,0.858089958777658
